Nombre,Descripcion_del_producto,Precio,off_product_name,off_barcode,off_brands,off_quantity,nutriscore_grade,ecoscore_grade,nova_group,ingredients_text,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,processed_at,Cantidad_real,Unidad_medida
Helado lima limon Hacendado,Caja 6 ud. (660 ml),2.6,Sorbete con lima limón,8480000645227,Hacendado,6 x 110 ml,c,b,4.0,"SORBETE CON LIMA Y LIMÓN, Ingredientes: Agua, azúcar, zumo de limón a partir de concentrado (9%), jarabe de glucosa y fructosa, zumo de lima a partir de concentrado (1,4%), aroma, estabilizantes (carragenanos, goma guar), colorantes (curcumina, complejos cúpricos de clorofilinas), GELADO DE FRUTA-LIMA E LIMÃO, Ingredientes: Água, açúcar, sumo de limão a partir de concentrado (9%), xarope de glicose e frutose, sumo de lima a partir de concentrado (1,4%), aroma, estabilizadores (carragenina, goma de guar), corantes (curcumina, complexos cúpricos de clorofilinas),",94.0,0.0,0.0,23.0,21.0,,0.0,0.0,0.0,2025-05-13T19:58:25.702371,660.0,ml
Caramelos blandos Fruits Hacendado,Paquete 300 g,1.6,Fruits,8480000653116,Hacendado,300 g,e,d,4.0,"Azúcar, jarabe de glucosa, grasa vegetal (palma), gelatina, acidulante (ácido cítrico), aromas (limón, naranja, cereza, fresa, piña), zumo de frutas concentrado 0,3% (limón, naranja, cereza, fresa, piña), colorantes (E100, E160c), zumo concentrado de granos de saúco, emulgente (lecitina de girasol).",400.0,6.6,3.9,84.0,70.0,0.0,0.8,0.0,0.0,2025-05-13T23:45:48.516839,300.0,g
Cocktail natural Hacendado,Paquete 200 g,2.8,Cocktail Natural,8480000868091,hacendado,200g,a,e,1.0,"NUECES, ALMENDRAS y ANACARDOS. TRAZAS DE CACAHUETÉ Y OTROS FRUTOS DE CÁSCARA.",651.0,58.8,5.9,5.6,5.2,9.0,20.4,0.0,0.0,2025-05-13T23:20:10.951420,200.0,g
Chocolate con leche Valor almendras enteras,Tableta 250 g,4.35,Chocolate con leche con almendras enteras,8410109000078,Valor,250 g,e,e,4.0,"Azúcar, _almendras_ 25%, manteca de cacao, pasta de cacao, _leche_ en polvo, lactosuero en polvo (_leche_), emulgente (lecitina de _soja_), aromas.",567.0,39.0,16.0,41.0,41.0,,11.0,0.00026,0.000104,2025-05-13T23:50:43.732357,250.0,g
Chocolate con leche Valor almendras enteras,Tableta 150 g,4.0,Chocolate con leche con almendras enteras,8410109000078,Valor,250 g,e,e,4.0,"Azúcar, _almendras_ 25%, manteca de cacao, pasta de cacao, _leche_ en polvo, lactosuero en polvo (_leche_), emulgente (lecitina de _soja_), aromas.",567.0,39.0,16.0,41.0,41.0,,11.0,0.00026,0.000104,2025-05-13T23:52:40.925704,150.0,g
Bifidus natural Hacendado,6 ud. x 125 g,1.18,Bifidus natural,8480000213075,hacendado,125g,b,unknown,4.0,"Leche fresca pasteurizada entera (Origen: España), proteinas de la leche, leche en polvo desnatada, fermentos lácticos y bifidobacterias (leche).",71.2,4.24,2.8,4.48,4.48,,3.84,0.00032,0.000128,2025-05-13T21:28:32.742430,750.0,g
Salmorejo al estilo cordobés Hacendado,3 mini bricks x 330 ml,2.65,Salmorejo,8480000399021,Hacendado,1 l,a,a,3.0,"Tomate, agua, aceite de oliva virgen extra (6%), _pan rallado_ (contiene _trigo_), pimiento, sal, vinagre de Jerez Reserva y ajo.",85.0,6.4,0.9,5.1,2.7,1.3,1.1,0.002,0.0008,2025-05-13T21:22:28.237532,990.0,ml
Salmorejo al estilo cordobés Hacendado,Brick 1 L,2.2,Salmorejo,8480000399021,Hacendado,1 l,a,a,3.0,"Tomate, agua, aceite de oliva virgen extra (6%), _pan rallado_ (contiene _trigo_), pimiento, sal, vinagre de Jerez Reserva y ajo.",85.0,6.4,0.9,5.1,2.7,1.3,1.1,0.002,0.0008,2025-05-13T21:22:42.003489,1000.0,ml
Patatas fritas clasicas Hacendado,2 paquetes x 150 g,1.9,Clasicas,8402001001567,Hacendado,300 g (2 x 150 g),b,b,3.0,"Patatas, aceite de girasol (30,8%) y sal.",530.2,30.8,3.5,52.3,0.9,7.7,7.1,0.0025,0.001,2025-05-13T23:18:25.420494,150.0,g
Pan hot dog Hacendado,Paquete 6 ud. (330 g),0.9,Hot dog,8480000823328,Hacendado,330g,b,b,4.0,"Farinha de trigo (glúten), água, levedura, açúcar, óleo vegetal de girassol (2%), sal, fibra de trigo (glúten), vinagre de vinho, farinha de favas, glúten de trigo, emulsionantes (E-472e, E-471), conservantes (E-282, E-202), agente de tratamento da farinha (E-300). Pode conter vestígios de sementes de sésamo, soja e mostarda.",270.0,4.0,0.6,48.0,5.5,2.5,9.0,0.0025,0.001,2025-05-13T20:56:19.921646,330.0,g
Endibias,Bandeja 450 g,1.87,Endibias,8421022151006,Saltes,350 g,a,not-applicable,1.0,Endibias,9.0,0.2,0.04,2.6,0.7,,1.1,0.004,0.0016,2025-05-13T12:34:00.468185,450.0,g
Papilla fresa y platano Hacendado +8 meses,1 ud. (120 g),0.95,Papilla fresa y plátano +8 meses,8480000320094,Hacendado,120g,not-applicable,unknown,4.0,"Puré de frutas (puré de plátano 37%, puré de manzana, puré de fresa 23%, zumo de uva a partir de concentrado, zumo de limón a partir de concentrado), aroma natural, ácido L-ascórbico (vitamina C).",71.0,0.2,0.0,16.0,13.0,1.2,0.7,0.004,0.0016,2025-05-13T12:42:48.158208,120.0,g
Pepinillos pequeños Hacendado,Tarro 420 g (230 g escurrido),1.5,Pepinillos pequeños,8402001022654,Hacendado,,unknown,unknown,,,17.0,0.0,,1.1,,1.5,1.5,0.00475,0.0019,2025-05-13T23:20:23.545123,420.0,g
Pasta penne Armando,Paquete 500 g,1.4,Penne,8005709104075,Armando,500 g,a,unknown,,"(9 samale and durum wheat food paste,",354.0,1.3,0.3,70.2,3.2,2.7,14.0,0.005,0.002,2025-05-13T23:33:43.915487,500.0,g
Pasta tortiglioni Armando,Paquete 500 g,1.4,Tortiglioni,8005709104839,Armando,500 g,a,unknown,1.0,"Sémola de _trigo_ duro,",354.0,1.3,0.3,70.2,3.2,2.7,14.0,0.005,0.002,2025-05-13T23:30:43.544967,500.0,g
Pasta fusilli Armando,Paquete 500 g,1.4,Fusilli,8005709104952,Armando,500 g,a,unknown,1.0,Sémola de _trigo_ duro.,354.0,1.3,0.3,70.2,3.2,2.7,14.0,0.005,0.002,2025-05-13T23:32:51.252107,500.0,g
Salchichas cocidas de pollo Hacendado,2 paquetes x 250 g,1.75,Salchichas cocidas de pollo y pavo,8480000530561,Hacendado,2-200gr,b,e,4.0,"Carne separada mecánicamente de pollo (76%), agua, carne separada mecánicamente de pavo (7%, sal, dextrosa, fibra vegetal, estabilizador (E-450), aromas, extractos de especias, jarabe de glucosa, gelificante (E-466), concentrado de boniato, especias, aroma de humo, antioxidante (E-315) proteina vegetal hidrolizada, conservador (E-250),",202.0,16.0,5.3,0.8,0.5,,13.5,0.005,0.002,2025-05-14T01:35:57.844138,250.0,g
Pimiento verde freir,Pieza 100 g aprox.,0.27,Pimientos Dulces Para Freir,8428949101015,Euskal Baserri,,a,a,,,27.0,0.17,0.06,4.6,2.4,1.7,0.86,0.008,0.0032,2025-05-14T02:02:28.813307,100.0,g
Chocolate negro 55% cacao Hacendado con almendras,Tableta 200 g,2.4,Tableta de chocolate negro con almendras 55% cacao,8480000121882,Hacendado,200 g,e,e,4.0,"Pasta de cacao, azúcar, _almendras_ enteras (25%), manteca de cacao, emulgente: lecitina de girasol (E-322) y aroma: vainillina. Cacao: 55 % mínimo.",2271.0,38.0,16.0,37.0,35.0,9.3,9.5,0.008,0.0032,2025-05-13T22:40:49.812967,200.0,g
Refresco Coca-Cola,Botella 2 L,1.99,Coca cola,75007614,Coca-Cola,600ml,e,not-applicable,4.0,"agua carbonatada, azúcares añadidos (jarabe de alta fructosa y azúcar), caramelo clase lV, ácido fosfórico, saborizantes, sucralosa (4.4mg/100g) y cafeina



hidratos de carbono disponibles 7.5g, azúcares 7.5g, azúcares añadidos 7.5g, fibra dietética 0g, proteínas 0g, grasas totales 0g, grasas saturadas 0g, grasas trans 0mg, sodio 10mg",30.0,0.0,0.0,7.5,7.5,0.0,1.0,0.01,0.004,2025-05-13T23:12:20.398064,2000.0,ml
Refresco Coca-Cola,Lata 330 ml,0.92,Coca cola,75007614,Coca-Cola,600ml,e,not-applicable,4.0,"agua carbonatada, azúcares añadidos (jarabe de alta fructosa y azúcar), caramelo clase lV, ácido fosfórico, saborizantes, sucralosa (4.4mg/100g) y cafeina



hidratos de carbono disponibles 7.5g, azúcares 7.5g, azúcares añadidos 7.5g, fibra dietética 0g, proteínas 0g, grasas totales 0g, grasas saturadas 0g, grasas trans 0mg, sodio 10mg",30.0,0.0,0.0,7.5,7.5,0.0,1.0,0.01,0.004,2025-05-13T23:10:39.989103,330.0,ml
Refresco Coca-Cola,12 latas x 330 ml,9.96,Coca cola,75007614,Coca-Cola,600ml,e,not-applicable,4.0,"agua carbonatada, azúcares añadidos (jarabe de alta fructosa y azúcar), caramelo clase lV, ácido fosfórico, saborizantes, sucralosa (4.4mg/100g) y cafeina



hidratos de carbono disponibles 7.5g, azúcares 7.5g, azúcares añadidos 7.5g, fibra dietética 0g, proteínas 0g, grasas totales 0g, grasas saturadas 0g, grasas trans 0mg, sodio 10mg",30.0,0.0,0.0,7.5,7.5,0.0,1.0,0.01,0.004,2025-05-13T23:09:12.306230,12000.0,ml
Refresco Coca-Cola,2 botellas x 2 L,3.9,Coca cola,75007614,Coca-Cola,600ml,e,not-applicable,4.0,"agua carbonatada, azúcares añadidos (jarabe de alta fructosa y azúcar), caramelo clase lV, ácido fosfórico, saborizantes, sucralosa (4.4mg/100g) y cafeina



hidratos de carbono disponibles 7.5g, azúcares 7.5g, azúcares añadidos 7.5g, fibra dietética 0g, proteínas 0g, grasas totales 0g, grasas saturadas 0g, grasas trans 0mg, sodio 10mg",30.0,0.0,0.0,7.5,7.5,0.0,1.0,0.01,0.004,2025-05-13T23:09:24.504857,2000.0,ml
Refresco Coca-Cola,"2 botellas x 1,25 L",2.9,Coca cola,75007614,Coca-Cola,600ml,e,not-applicable,4.0,"agua carbonatada, azúcares añadidos (jarabe de alta fructosa y azúcar), caramelo clase lV, ácido fosfórico, saborizantes, sucralosa (4.4mg/100g) y cafeina



hidratos de carbono disponibles 7.5g, azúcares 7.5g, azúcares añadidos 7.5g, fibra dietética 0g, proteínas 0g, grasas totales 0g, grasas saturadas 0g, grasas trans 0mg, sodio 10mg",30.0,0.0,0.0,7.5,7.5,0.0,1.0,0.01,0.004,2025-05-13T23:12:07.659346,25000.0,ml
Refresco Coca-Cola,4 botellas x 500 ml,5.4,Coca cola,75007614,Coca-Cola,600ml,e,not-applicable,4.0,"agua carbonatada, azúcares añadidos (jarabe de alta fructosa y azúcar), caramelo clase lV, ácido fosfórico, saborizantes, sucralosa (4.4mg/100g) y cafeina



hidratos de carbono disponibles 7.5g, azúcares 7.5g, azúcares añadidos 7.5g, fibra dietética 0g, proteínas 0g, grasas totales 0g, grasas saturadas 0g, grasas trans 0mg, sodio 10mg",30.0,0.0,0.0,7.5,7.5,0.0,1.0,0.01,0.004,2025-05-13T23:12:41.168892,500.0,ml
Refresco Coca-Cola,Botella 500 ml,1.49,Coca cola,75007614,Coca-Cola,600ml,e,not-applicable,4.0,"agua carbonatada, azúcares añadidos (jarabe de alta fructosa y azúcar), caramelo clase lV, ácido fosfórico, saborizantes, sucralosa (4.4mg/100g) y cafeina



hidratos de carbono disponibles 7.5g, azúcares 7.5g, azúcares añadidos 7.5g, fibra dietética 0g, proteínas 0g, grasas totales 0g, grasas saturadas 0g, grasas trans 0mg, sodio 10mg",30.0,0.0,0.0,7.5,7.5,0.0,1.0,0.01,0.004,2025-05-13T23:15:57.093630,500.0,ml
Refresco Coca-Cola,"Botella 1,25 L",1.49,Coca cola,75007614,Coca-Cola,600ml,e,not-applicable,4.0,"agua carbonatada, azúcares añadidos (jarabe de alta fructosa y azúcar), caramelo clase lV, ácido fosfórico, saborizantes, sucralosa (4.4mg/100g) y cafeina



hidratos de carbono disponibles 7.5g, azúcares 7.5g, azúcares añadidos 7.5g, fibra dietética 0g, proteínas 0g, grasas totales 0g, grasas saturadas 0g, grasas trans 0mg, sodio 10mg",30.0,0.0,0.0,7.5,7.5,0.0,1.0,0.01,0.004,2025-05-13T23:12:47.281054,25000.0,ml
Spaghetti sin gluten Felicia,Paquete 500 g,2.05,Spaghetti sin gluten,8032804431966,Felicia,500 g ℮,b,unknown,4.0,"Harina de maiz 52,5%, harina de arroz 44% (harina de arroz integral y harina de arroz), almidón de patata 3%, emulgente: mono y diglicéridos de ácidos grasos 0,5%.",341.0,2.0,0.5,73.0,0.3,2.8,6.3,0.01,0.004,2025-05-13T23:35:07.616808,500.0,g
Patata,Pieza 260 g aprox.,0.55,Spaghetti N.5,8076800195057,"BARILLA NORGE ASbarilla, Barilla, BARILLA NORGE AS",500 g,a,b,1.0,"Krupica durum pšenice, voda. Može sadržati zrna soje u tragovima. Može sadržavati jaja u tragovima ako je proizvedeno u tvornici.",359.0,2.0,0.5,71.0,3.5,3.0,13.0,0.01,0.004,2025-05-14T02:03:00.825524,260.0,g
Pasta penne integral Hacendado,Paquete 500 g,1.2,Penne Rigate Integral,8402001010194,Hacendado,500 g,a,unknown,,"Semola integral de trigo duro (gluten). Puede contener traza de huevos, soja y mostaza.",345.0,2.4,0.5,62.0,3.7,10.0,13.5,0.01,0.004,2025-05-13T23:36:55.324923,500.0,g
Pasta penne rigate Hacendado,Paquete 500 g,0.8,Penne Rigate Integral,8402001010194,Hacendado,500 g,a,unknown,,"Semola integral de trigo duro (gluten). Puede contener traza de huevos, soja y mostaza.",345.0,2.4,0.5,62.0,3.7,10.0,13.5,0.01,0.004,2025-05-13T23:35:17.377779,500.0,g
Spaghetti Hacendado,Paquete 1 kg,1.2,Pasta alimenticia integral,8402001010200,Hacendado,500g,a,unknown,,"Sémola integral de trigo duro (gluten). Puede contener trazas de huevos, soja y mostaza,",345.0,2.4,0.5,62.0,3.7,10.0,13.5,0.01,0.004,2025-05-13T23:36:41.100259,1000.0,g
Spaghetti Hacendado,Paquete 500 g,0.8,Pasta alimenticia integral,8402001010200,Hacendado,500g,a,unknown,,"Sémola integral de trigo duro (gluten). Puede contener trazas de huevos, soja y mostaza,",345.0,2.4,0.5,62.0,3.7,10.0,13.5,0.01,0.004,2025-05-13T23:34:17.991983,500.0,g
Spaghetti integral Hacendado,Paquete 500 g,1.2,Pasta alimenticia integral,8402001010200,Hacendado,500g,a,unknown,,"Sémola integral de trigo duro (gluten). Puede contener trazas de huevos, soja y mostaza,",345.0,2.4,0.5,62.0,3.7,10.0,13.5,0.01,0.004,2025-05-13T23:36:48.067539,500.0,g
Caramelos eucaliptus mentol Respiral Halls,Paquete 150 g,1.95,Respiral eucaliptus mentol,8410034504191,Halls,150 g,e,d,4.0,"Azúcar, jarabe de glucosa, mentol, aroma,",389.0,0.0,0.0,97.0,79.0,,0.0,0.01,0.004,2025-05-13T23:48:00.259085,150.0,g
Caramelos limon mentol Respiral Halls,Paquete 150 g,1.95,Respiral limón mentol,8410034546153,Halls,,e,c,,"RIESGO DE ATRAGANTAMIENTO No recomendable para niños menores de 4 años,",388.0,0.1,0.1,97.0,79.0,,0.1,0.01,0.004,2025-05-13T23:48:34.474192,150.0,g
Cacao en polvo a la taza Valor,Paquete 500 g,3.75,Valorcao a la taza,8410109113051,Valor,500 g (17.6 oz),unknown,d,4.0,"Azúcar, cacao desgrasado en polvo 20%, almidón de maíz, emulgente: lecitina de soja, aromas. Puede contener trazas de leche.",382.0,2.6,1.5,80.0,66.0,,5.6,0.01,0.004,2025-05-13T22:39:35.150948,500.0,g
Cerveza Victoria Malaga,Lata 330 ml,0.74,Cerveza Victoria Pilsen,8410793226136,Victoria,33cl,not-applicable,c,3.0,"AGUA, MALTA DE CEBADA, ARROZ, LUPULO.",44.0,0.0,0.0,3.7,0.5,,0.4,0.01,0.004,2025-05-14T00:10:56.004294,330.0,ml
Cerveza Victoria Malaga,12 latas x 330 ml,6.0,Cerveza Victoria Pilsen,8410793226136,Victoria,33cl,not-applicable,c,3.0,"AGUA, MALTA DE CEBADA, ARROZ, LUPULO.",44.0,0.0,0.0,3.7,0.5,,0.4,0.01,0.004,2025-05-13T23:57:45.100937,12000.0,ml
Arroz basmati aromatico Hacendado,Paquete 1 kg,2.2,Arroz Basmati,8480000050021,Hacendado,1 kg,b,f,1.0,"basmati rice,",355.0,0.6,0.2,78.0,0.5,,9.0,0.01,0.004,2025-05-13T23:31:09.612877,1000.0,g
Arroz redondo Hacendado,Paquete 1 kg,1.3,Arroz redondo,8480000050441,Hacendado,1 kg,b,e,1.0,rice,344.0,1.0,0.2,75.0,0.5,,8.2,0.01,0.004,2025-05-13T23:30:08.672157,1000.0,g
Arroz integral largo Hacendado,Paquete 1 kg,1.65,Arroz integral largo,8480000051844,Hacendado,,b,f,1.0,ARROZ INTEGRAL O CARGO ARROZ LONGO EXTRA INTEGRAL,350.0,2.8,0.7,72.0,0.5,3.3,7.6,0.01,0.004,2025-05-13T23:33:24.752730,1000.0,g
Sémola de trigo Hacendado,Paquete 500 g,1.6,Spaghetti. Pasta Alimenticia De Calidad Superior,8480000062451,Hacendado,1 Kg,a,unknown,1.0,Semola: trigo duro.,361.0,1.5,0.3,72.0,3.6,3.5,13.0,0.01,0.004,2025-05-13T21:01:47.693524,500.0,g
Macarron fino Hacendado,Paquete 500 g,0.8,Macarrón Fino,8480000062604,Hacendado,500 g,a,b,1.0,Sémola de _trigo_ duro (_gluten_).,361.0,1.5,0.3,72.0,3.6,3.5,13.0,0.01,0.004,2025-05-13T23:30:50.760388,500.0,g
Infusion Manzanilla Hacendado,Caja 20 bolsitas (27 g),0.55,Infusión manzanilla,8480000111685,Hacendado,27 g,b,a,1.0,Manzanilla y camomila,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.01,0.004,2025-05-14T00:58:33.921435,27.0,g
Infusion Rooibos citricos Hacendado,Caja 20 bolsitas (40 g),1.15,Infusión rooibos cítricos,8480000113894,Hacendado,,unknown,a,,,2.0,1.0,1.0,0.5,0.5,,0.5,0.01,0.004,2025-05-14T00:59:56.210490,40.0,g
Bombones cereza al licor Hacendado con chocolate negro,Paquete 150 g,2.2,Cherries licor de chocolate negro,8480000124678,Hacendado,145g,e,unknown,4.0,"Azúcar, pasta de cacao, cerezas al licor 10% (cerezas, agua, alcohol), manteca de cacao, jarabe de glucosa, alcohol 2%, kirsch 1.2%, materia grasa _láctea_ anhidra, infusión de cereza con alcohol 0,6% (cerezas, agua, alcohol), aromas, estabilizador (invertasa), acidulante (ácido cítrico), emulgente (lecitina de girasol).",451.0,19.0,12.0,58.0,55.0,3.4,2.7,0.01,0.004,2025-05-14T00:04:13.239936,150.0,g
Fideo cabello de angel Hacendado,Paquete 500 g,0.8,Fideo cabello de ángel,8480000135773,hacendado,,a,unknown,1.0,Sémola de _trigo_ duro (_gluten_). _Puede contener trazas de huevo y soja_.,361.0,1.5,0.3,72.0,3.6,3.5,13.0,0.01,0.004,2025-05-13T23:30:14.879558,500.0,g
Mermelada de arandanos Hacendado,Tarro 330 g,1.85,Mermelada de arándanos,8480000151322,Hacendado,355 g,d,a,4.0,"Arándanos, azúcar, gelificante (pectinas), corrector de acidez (ácido cítrico).",206.0,0.5,0.1,49.0,49.0,,0.5,0.01,0.004,2025-05-13T23:43:31.737517,330.0,g
Piña en su jugo Hacendado rodajas,Bote 822 g (490 g escurrido),1.95,Piña en su Jugo,8480000152039,Hacendado,227g,a,a,1.0,"Piña, zumo de piña,",55.0,0.1,0.0,13.2,11.0,0.5,0.4,0.01,0.004,2025-05-13T12:43:44.722148,822.0,g
Piña en su jugo Hacendado rodajas,3 latas x 140 g,2.45,Piña en su Jugo,8480000152039,Hacendado,227g,a,a,1.0,"Piña, zumo de piña,",55.0,0.1,0.0,13.2,11.0,0.5,0.4,0.01,0.004,2025-05-13T12:42:55.711964,3000.0,ml
Bebida de melocoton Hacendado sin azucares añadidos,Brick 1 L,1.0,Melocotón Pera Albaricoque Piña y Uva. En zumo de Uva,8480000152510,Hacendado,820 g,a,unknown,,,59.0,0.2,0.0,14.1,12.0,,0.3,0.01,0.004,2025-05-13T22:27:04.805659,1000.0,ml
Bebida de melocoton Hacendado sin azucares añadidos,6 mini bricks x 200 ml,1.5,Melocotón Pera Albaricoque Piña y Uva. En zumo de Uva,8480000152510,Hacendado,820 g,a,unknown,,,59.0,0.2,0.0,14.1,12.0,,0.3,0.01,0.004,2025-05-13T22:26:57.604170,1200.0,ml
Almendra natural Hacendado sin piel,Paquete 200 g,2.65,Almendra sin piel,8480000235756,Hacendado,200 g,a,e,1.0,_Almendra_ sin piel.,619.0,53.6,4.7,7.8,3.9,10.3,21.8,0.01,0.004,2025-05-13T23:20:30.901106,200.0,g
Tonica Hacendado,6 latas x 330 ml,2.22,Tónica,8480000270344,Hacendado,"1,5 l",d,not-applicable,4.0,"Agua carbonatada, azúcar, jarabe de glucosa y fructosa, acidulante (ácido cítrico), aromas (contiene quinina), conservador (sorbato potásico).",35.0,0.0,0.0,8.2,7.8,,0.0,0.01,0.004,2025-05-13T23:13:52.281414,6000.0,ml
Tonica Hacendado,Lata 330 ml,0.37,Tónica,8480000270344,Hacendado,"1,5 l",d,not-applicable,4.0,"Agua carbonatada, azúcar, jarabe de glucosa y fructosa, acidulante (ácido cítrico), aromas (contiene quinina), conservador (sorbato potásico).",35.0,0.0,0.0,8.2,7.8,,0.0,0.01,0.004,2025-05-13T23:14:35.993402,330.0,ml
Refresco fusion de frutas Gold Spring cero sin gas,Botella 2 L,1.5,Refresco fusión de frutas sin gas cero,8480000281876,Gold spring,2 l,d,c,4.0,"water, fruit juices from concentrate 35% (apple, grape 10%, blueberry 1%, kiwi 1%), stabilizers (e414, e466, e415, e445), flavourings, acidifier (citric acid), antioxidant (ascorbic acid), sweetener (sucralose), dye (e133),",20.0,0.0,0.0,4.5,4.5,,0.1,0.01,0.004,2025-05-13T12:50:02.772765,2000.0,ml
Refresco piña-coco Gold Spring cero sin gas,Botella 2 L,1.5,Refresco sin gas piña-coco cero,8480000281913,Gold spring,2 l,d,c,4.0,"Agua, zumos de frutas a partir de concentrado 35% (manzana, uva, piña 8%), agua de coco 1%, estabilizantes (E414, E445), acidulante (ácido cítrico), antioxidante (ácido ascórbico), colorante (E160a), aromas, edulcorante (sucralosa).",20.0,0.0,0.0,4.5,4.5,,0.1,0.01,0.004,2025-05-13T20:33:01.078288,2000.0,ml
Harina de arroz Hacendado,Paquete 500 g,1.31,Harina de arroz,8480000291301,Hacendado,500 g,b,e,1.0,Harina de arroz ( íntegramente de la molienda de granos de arroz).,347.0,0.5,0.1,79.0,0.5,,7.4,0.01,0.004,2025-05-13T20:58:39.362807,500.0,g
Fideos de chocolate Hacendado,Paquete 100 g,1.75,Fideos de chocolate,8480000323354,Hacendado,,e,unknown,,,495.0,24.0,15.0,61.0,58.0,,6.0,0.01,0.004,2025-05-13T21:15:33.563425,100.0,g
Zumo de piña y uva Hacendado,Brick 1 L,1.0,Zumo de piña y uva,8480000391292,Hacendado,,d,e,,,54.0,0.0,0.0,12.9,12.9,0.0,0.6,0.01,0.004,2025-05-13T22:30:18.691011,1000.0,ml
Zumo de piña y uva Hacendado,6 mini bricks x 200 ml,1.5,Zumo de piña y uva,8480000391292,Hacendado,,d,e,,,54.0,0.0,0.0,12.9,12.9,0.0,0.6,0.01,0.004,2025-05-13T22:25:43.804357,1200.0,ml
Zumo maracuya & chia Hacendado,Botella 250 ml,1.6,Fresh maracuyá & chía,8480000399878,Hacendado,250 ml,b,unknown,,,54.0,0.6,0.1,11.1,10.0,,0.6,0.01,0.004,2025-05-13T22:25:37.027519,250.0,ml
Judia verde redonda Hacendado ultracongelada,Paquete 1 kg,1.6,Judía verde Redonda,8480000612823,Hacendado,1 kg,a,a,1.0,Feijão-verde.,31.0,0.2,0.0,4.2,3.0,2.4,1.9,0.01,0.004,2025-05-14T02:05:20.299394,1000.0,g
Arroz precocido Hacendado ultracongelado,Paquete 6 bolsitas (1 kg),2.0,Arroz Precocido,8480000613028,Hacendado,1 kg,a,unknown,1.0,"Arroz (agua, arroz).",126.0,0.3,0.1,28.0,0.0,0.4,2.7,0.01,0.004,2025-05-13T23:33:05.119914,1000.0,g
Arroz con verduras Hacendado ultracongelado,Paquete 4 bolsitas (800 g),2.0,Arroz con verduras,8480000613059,Hacendado,600 g,a,unknown,3.0,"Arroz 58% (agua, arroz), verduras en proporción variable 42% (guisante, pimiento rojo, zanahoria, maíz, brócoli, judía verde).",93.0,0.4,0.1,19.0,1.8,1.5,2.7,0.01,0.004,2025-05-13T18:36:37.587832,800.0,g
Arroz de verduras Hacendado,Bandeja 280 g,3.5,Arroz con verduras,8480000613059,Hacendado,600 g,a,unknown,3.0,"Arroz 58% (agua, arroz), verduras en proporción variable 42% (guisante, pimiento rojo, zanahoria, maíz, brócoli, judía verde).",93.0,0.4,0.1,19.0,1.8,1.5,2.7,0.01,0.004,2025-05-13T21:23:25.385992,280.0,g
Cerveza Suave Steinburg,12 latas x 330 ml,3.6,Cerveza Suave,8480000664860,Steinburg,33 cl,not-applicable,d,3.0,"Agua, malta de _cebada_, maiz, lúpulo",35.0,0.0,0.0,1.45,0.1,,0.35,0.01,0.004,2025-05-13T23:57:07.186668,12000.0,ml
Cerveza Suave Steinburg,Lata 330 ml,0.3,Cerveza Suave,8480000664860,Steinburg,33 cl,not-applicable,d,3.0,"Agua, malta de _cebada_, maiz, lúpulo",35.0,0.0,0.0,1.45,0.1,,0.35,0.01,0.004,2025-05-14T00:09:25.078139,330.0,ml
Cerveza Shandy Steinburg sabor limon,12 latas x 330 ml,4.2,Shandy sabor a limón,8480000664938,Steinburg,500ml,not-applicable,d,4.0,"Agua, cerveza (agua, malta de _cebada_, maíz, lúpulo), azúcar, dióxido de carbono, acidulante (ácido cítrico), aroma natural, estabilizador (goma arábiga), salmuera naturales, colorante (E150c), conservante (sorbato potásico).",37.0,0.0,0.0,8.0,7.3,,0.1,0.01,0.004,2025-05-13T23:59:21.756936,12000.0,ml
Cerveza Shandy Steinburg sabor limon,Lata 330 ml,0.35,Shandy sabor a limón,8480000664938,Steinburg,500ml,not-applicable,d,4.0,"Agua, cerveza (agua, malta de _cebada_, maíz, lúpulo), azúcar, dióxido de carbono, acidulante (ácido cítrico), aroma natural, estabilizador (goma arábiga), salmuera naturales, colorante (E150c), conservante (sorbato potásico).",37.0,0.0,0.0,8.0,7.3,,0.1,0.01,0.004,2025-05-14T00:04:01.188804,330.0,ml
Cerveza especial Steinburg,Lata 330 ml,0.34,Especial,8480000667656,Steinburg,33 cl,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",48.0,0.5,0.0,3.7,0.7,,0.42,0.01,0.004,2025-05-14T00:10:38.718425,330.0,ml
Cerveza especial Steinburg,12 latas x 330 ml,4.08,Especial,8480000667656,Steinburg,33 cl,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",48.0,0.5,0.0,3.7,0.7,,0.42,0.01,0.004,2025-05-13T23:57:13.346096,12000.0,ml
Cerveza especial Steinburg,12 botellines x 250 ml,4.68,Especial,8480000667656,Steinburg,33 cl,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",48.0,0.5,0.0,3.7,0.7,,0.42,0.01,0.004,2025-05-14T00:09:44.668450,250.0,ml
